Account Executive;Geographic Region;Company Name;Deal Status;Total Amount;Product / Service;Marketing Leads;Units Sold;Campaign ID;Marketing Spend;Price Per Unit;Transaction Date;Closed Deals
C. Davis;EMEA;Planet Express;Closed Won;173,106.45 USD;Service Plan Enterprise;29;0;Q3-2023-Trade Show;29,826.41 USD;3,516.62 USD;26-Mar-2024;302
TBD;ASIAPAC;Vandelay Ind;proposal;38,527.28 USD;Analytics Dashboard;1813;88;H2-24-Trade Show;210.82 USD;437.81 USD;09-Aug-2025;452
leo harris;Latin America;Vandelay Ind;in progress;69,202.26 USD;Widget A;788;369;Q1-24-Upsell;31,083.21 USD;187.54 USD;21-Jan-2025;210
J. Smith;;Vandelay Ind;Pending;968,863.33 USD;Hardware Unit;119;313.00;Q2-2024-Black Friday;0;3,095.41 USD;24-Jun-2025;114
Henry Taylor;EU;HealthPlus Pharma;negotiation;153,637.08 USD;Support Tier 1;1892;#REF!;Q1-2024-Fall Campaign;4,755.15 USD;1,791.47 USD;22-Aug-2025;427
leo harris;Asia Pacific;Vandelay Ind;CW;41,724.98 USD;Marketing Suite;4173;11.00;H2-23-Retention;24,230.03 USD;3,793.18 USD;30-Sep-2023;446
Bob Williams;North America;Vandelay Ind;PENDING;1,379,716.39 USD;Support Tier 1;2808;479.00;Q4-23-Holiday Sale;;2,880.41 USD;09-May-2025;49
alice johnson;ANZ;Vandelay Ind;closed won;102,913.58 USD;Software Subscription;822;154.0;Q1-2023-Black Friday;49,143.32 USD;668.27 USD;26-Aug-2024;224
M. Clark;UK;;CLOSED WON;333,750.16 USD;Analytics Dashboard;2084;146.0;Q2-23-Trade Show;11,362.41 USD;2,285.96 USD;08-Nov-2024;275
G. Lee;SA;Vandelay Ind;lead;1,542,560.25 USD;Support Tier 1;382;385;H2-2023-Cross-sell;20,482.07 USD;4,006.65 USD;06-Jan-2024;133
Mia Clark;North America;;Closed-Lost;135,444.03 USD;Marketing Suite;2707;0;Q1-23-Trade Show;28,597.09 USD;3,879.99 USD;13-Jul-2024;25
john smith;Australia;Vandelay Ind;negotiation;75,302.77 USD;Widget B;4598;89.00;H2-23-Email Blast;28,730.62 USD;-;28-May-2024;10
eva martinez;NA;Vandelay Ind;Closed-Won;385,752.45 USD;Data Pipeline;148;227.0;Q1-2023-Brand Awareness;13,528.57 USD;1,699.35 USD;;213
leo harris;ANZ;;Qualified;129,154.58 USD;Gadget Mini;2853;-;Q4-2024-Cross-sell;34,864.35 USD;3,314.99 USD;04-Dec-2024;104
alice johnson;Britain;Vandelay Ind;closed lost;308,186.20 USD;Service Plan Pro;;170.0;H2-2023-Upsell;33,707.50 USD;1,812.86 USD;11-Nov-2023;
J. Thomas;N. America;Vandelay Ind;Proposal;424,650.85 USD;Service Plan Pro;435;481.00;Q3-2023-Summer Blitz;6,259.85 USD;882.85 USD;04-Apr-2025;239
J. Doe;Africa;Soylent Corp;closed lost;212,012.82 USD;Service Plan Basic;1089;122.00;H2-2023-Cross-sell;1,408.79 USD;1,737.81 USD;29-Sep-2024;276
Henry Taylor;APAC;Stratton Oakmont;open;976,227.84 USD;API Access;;256.0;Q1-2023-New Year Promo;31,916.64 USD;3,813.39 USD;29-Jul-2024;475
I. Anderson;APAC;Vandelay Ind;Closed Won;119,126.40 USD;Marketing Suite;2180;64;H1-24-Product Launch;;1,861.35 USD;15-Nov-2024;190
J. Smith;Asia;GreenLeaf Energy;Closed-Lost;908,299.44 USD;Cloud Storage 5TB;3866;276.0;H2-2024-Black Friday;7,902.12 USD;3,290.94 USD;04-Nov-2024;2
Henry Taylor;N/A;Rekall Inc;Lead;1,304,116.64 USD;Service Plan Pro;3170;284.0;;49,554.75 USD;4,591.96 USD;09-Jan-2024;267
G. Lee;North America;Vandelay Ind;Negotiation;877,141.19 USD;Training Package;4862;241;Q2-2024-Summer Blitz;28,560.97 USD;3,639.59 USD;04-Oct-2023;27
iris anderson;Europe;Vandelay Ind;CLOSED WON;141,590.22 USD;Service Plan Basic;1407;N/A;FY-24-Fall Campaign;3,703.15 USD;3,094.62 USD;18-May-2024;17
H. Taylor;SA;Prestige Worldwide;Closed-Won;1,233,922.25 USD;Widget B;78;275.00;H2-24-Upsell;49,875.14 USD;4,486.99 USD;11-Jan-2025;-
C. Davis;LATAM;Vandelay Ind;CLOSED WON;N/A;Cloud Storage 5TB;523;-;Q2-2023-Product Launch;44,380.23 USD;899.20 USD;05-Nov-2024;481
J. Thomas;USA;Vandelay Ind;Proposal;580,886.64 USD;Security Bundle;4676;216.00;Q4-24-Upsell;23,826.19 USD;2,689.29 USD;28-May-2024;176
Bob Williams;NA;Vandelay Ind;lead;null;Support Tier 1;3284;265.0;Q4-24-Retention;19,776.03 USD;;31-Mar-2025;N/A
B. Williams;Britain;Vandelay Ind;Won;493,812.02 USD;Service Plan Basic;2811;311;Q3-24-Spring Push;41,177.34 USD;1,587.82 USD;11-Jun-2024;113
J. Doe;Australia;CloudNine SaaS;CL;83,826.48 USD;Training Package;4413;-;Q4-24-Retention;8,167.20 USD;3,110.98 USD;25-Feb-2025;350
F. Wilson;Latin America;Vandelay Ind;qualified;138,554.60 USD;Cloud Storage 1TB;4827;86.0;;17,061.41 USD;1,611.10 USD;21-Jun-2025;361
Jake Thomas;United States;MomCorp;Lost;16,303.02 USD;Consulting Hours;4431;213;Q3-24-Email Blast;5,043.36 USD;76.54 USD;02-Jun-2024;101
H. Taylor;Middle East;HealthPlus Pharma;CLOSED WON;811,970.88 USD;Gadget X;3342;336;FY-23-Email Blast;null;2,416.58 USD;19-Feb-2025;20
Alice Johnson;LATAM;Vandelay Ind;CW;20,706.88 USD;Cloud Storage 5TB;null;8;Q2-2024-Trade Show;5,307.34 USD;2,588.36 USD;31-Mar-2024;463
