total_revenue,sales_region,qty,num_conversions,sales_channel,sale_date,ad_spend_usd,company_name,deal_status,campaign_name,num_leads,unit_price,product_name,rep_name,Notes
"$16,172.30",Africa,215.0,377,DIRECT,11.09.2023,"$39,347.51",Umbrella Ltd,In Progress,,3699,$75.22,Software License,Karen White,
"$601,363.44",South America,306.00,421,DIRECT,12.05.2023,"$11,132.83",,lead,Q1-2024-Retention,3702,"$1,965.24",Data Pipeline,TBD,
"$472,529.47",Australia,263,220,Phone,15.06.2024,"$34,903.30",Dharma Initiative,Closed Lost,H2-23-Holiday Sale  ,1633,"$1,796.69",Gadget Mini,eva martinez,
"$179,160.37",SA,331,372,phone,10.03.2023,"$5,344.57",Umbrella Ltd,closed lost,H1-2023-Spring Push,3851,$541.27,Cloud Storage 1TB,Leo Harris,
"$212,198.88",APAC,383.00,287,Online,09.08.2023,"$26,090.93",Umbrella Ltd,in progress  ,H2-24-Webinar Series,3375,NA,Analytics Dashboard,TBD,
"$781,746.50",United States,193.0,294,Field Sales,28.05.2024,"$18,297.74",Umbrella Ltd,proposal,H1-2023-Cross-sell,4009,"$4,050.50",Cloud Storage 5TB,Grace Lee,escalated
"$1,064,260.89",Asia,309,96,partner,19.05.2024,"$48,086.17",Umbrella Ltd,Closed-Lost,H1-23-Retention,3501,"$3,444.21",Service Plan Enterprise,A. Johnson,
"$543,503.43",Europe,109.00,149,social media,12.09.2024,"$5,414.73",Umbrella Ltd,Closed Won,H1-2023-Spring Push,3389,"$4,986.27",Cloud Storage 5TB,henry taylor,VIP client
"$106,934.56",??,328,119,,08.05.2023,"$5,569.08  ",Umbrella Ltd,PENDING,Q3-23-Black Friday,1750,$326.02,Hardware Unit,David Brown,
"$314,167.44",UK,116,477,Direct Sales,06.04.2023  ,"$19,339.61",Umbrella Ltd,Proposal,Q4-24-Holiday Sale,510,"$2,708.34",Marketing Suite,N/A,
"$21,164.65",Middle East,65,342,email campaign,02.09.2023,"$21,949.49",Umbrella Ltd,qualified,H1-2024-Upsell,1493,$325.61,-  ,Leo Harris,returned
"$247,497.77",USA,#REF!,484,affiliate,03.08.2024,"$3,608.89",Umbrella Ltd,Lost,Q4-24-Retention,2369,"$4,385.02",Software Subscription,grace lee,
"$165,720.12",N. America,480,74,Field Sales  ,22.08.2023,"$22,087.41",Umbrella Ltd,qualified,H1-23-Holiday Sale,4469,N/A,Hardware Unit,E. Martinez,
"$114,505.98",UK,349.0,482,ONLINE,07.04.2023  ,"$27,367.50",Umbrella Ltd,qualified,Q3-2024-Cross-sell,306,NULL,Security Bundle,J. Doe,
,United States,0,70,direct,09.09.2023,"$36,775.72",Rekall Inc,Negotiation,Q2-24-Brand Awareness,-,"$1,854.68",Training Package,Carol Davis  ,
"$165,331.88",LATAM,196,235,Referral,03.06.2024,"$8,082.47",Umbrella Ltd,Closed-Won,H2-24-Upsell,4363,$843.53,Gadget Mini,grace lee,
"$640,257.28",Middle East,218,269,e-comm,19.10.2023,-,Stratton Oakmont,Negotiation,Q2-2023-Trade Show,2400,"$2,936.96",Cloud Storage 5TB,iris anderson,
"$127,582.39",-,0,147,Direct,08.05.2024,"$26,727.23",,Closed-Won,Q1-2024-Brand Awareness,206,"$4,916.34",ERP Add-on,J. Doe,
"$1,646,460.79",Unknown,377,445,Telesales,20.12.2024,"$41,759.26",Umbrella Ltd,closed won,Q2-23-Trade Show,3105  ,"$4,367.27",Data Pipeline,N/A,
"$603,848.34",Australia,197.00,108,Direct,06.05.2024,"$23,823.73",Umbrella Ltd,pending,Q1-2023-Brand Awareness,532,"$3,065.22",Other,D. Brown,
"$639,936.70",North America,130.00,473,In-Store,13.05.2023,"$16,363.83",Prestige Worldwide,Closed-Won,Q2-2024-Spring Push,4254,"$4,922.59",Support Tier 2,Bob Williams,
"$756,831.88",MEA,427.00,329,E-Commerce,18.09.2024,"$29,505.94",Umbrella Ltd,CW,,1925,"$1,772.44",Security Bundle,Carol Davis,
NA,EU,2.0,368,ONLINE,08.02.2023,"$14,004.00",Umbrella Ltd,Pending,Q3-23-Product Launch,83,#N/A,Training Package,H. Taylor,
"$574,500.15",Middle East,399,469,Website,27.06.2024,N/A,Umbrella Ltd  ,negotiation,,1883,"$1,439.85",Service Plan Pro,frank wilson,
"$722,475.68",Africa,344,94,Web,20.07.2024,"$35,337.68  ",Dharma Initiative,open,H2-2023-Webinar Series,N/A,"$2,100.22",Cloud Storage 1TB,jake thomas,
"$272,855.70",LATAM,65.0,319,Referral,15.04.2023,0,Umbrella Ltd,CL,Q4-2024-Webinar Series,3701,"$4,197.78",Gadget X,Eva Martinez,
"$235,756.72",Australia,290.00,478,call center,19.11.2024,"$27,059.40",Umbrella Ltd,PENDING,H1-2023-Retention,1819,#N/A,Widget B,Iris Anderson,
"$456,897.60",Britain,180.00,358,social media,01.05.2024,"$10,968.68",Umbrella Ltd,Negotiation,Q1-2024-Social Push,1873,"$2,538.32",CRM Module,Alice Johnson,
"$63,714.20",Latin America,22  ,-,DIRECT,04.09.2024,"$37,205.82",Umbrella Ltd,qualified,Q1-24-Fall Campaign,324,"$2,896.10",Service Plan Basic,L. Harris,
"$124,987.68",Unknown,29,462,Retail,30.08.2023,"$49,930.82",Umbrella Ltd,lead,H1-23-Brand Awareness,3348,"$4,309.92",Analytics Dashboard,mia clark,
"$786,404.46",EMEA,159.00,253,Brick & Mortar,12.07.2023,"$29,282.30",Umbrella Ltd,LOST,Q3-2024-Retention,399,"$4,945.94",Software License,Unassigned,
"$472,529.47",Australia,263,220,Phone,15.06.2024,"$34,903.30",Dharma Initiative,Closed Lost,H2-23-Holiday Sale  ,1633,"$1,796.69",Gadget Mini,eva martinez,
"$7,936.71",Britain,3,160,phone,16.11.2023,"$30,542.71",Umbrella Ltd,lead,FY-2024-Webinar Series,4753,"$2,645.57",Security Bundle,,
"$383,233.80",ANZ,228.0,32,,03.10.2024,"$38,910.71",Umbrella Ltd,Proposal,Q3-23-Cross-sell,1008,"$1,680.85",Gadget Mini,david brown,
"$15,557.76",Asia Pacific,444,407,e-comm,24.11.2023,"$45,295.46",Umbrella Ltd  ,CLOSED LOST,H2-23-Spring Push,2660,$35.04,Service Plan Pro,karen white,
"$64,201.58",United States,,461,Store,13.07.2024,"$38,145.42",Sterling Cooper,LOST,H1-24-Spring Push,2419,$613.35,CRM Module,N/A,discount applied
"$16,231.80",ANZ,6,154,PARTNER,09.09.2023,"$42,013.25",Oceanic Airlines,open,Q1-23-New Year Promo,1450,"$2,705.30",Service Plan Basic,henry taylor,renewal
"$1,564,669.48",Australia,319.00,52,Website,26.07.2023,"$6,000.42",Umbrella Ltd,CLOSED WON,FY-2023-Holiday Sale,963  ,"$4,904.92",Gadget Mini,alice johnson,
NULL,APAC,#REF!,N/A,Online  ,05.04.2023,"$16,713.28",Pinnacle Analytics,in progress,Q1-2024-Email Blast,3566,$244.27,Service Plan Enterprise,Grace Lee,partial payment
"$11,522.72",USA,22.00,142,web,25.04.2024,"$4,628.54",Umbrella Ltd,WON,Q4-23-Black Friday,null,$523.76,Widget A,F. Wilson,
"$451,078.32",LATAM,147.0,313,Affiliate  ,29.08.2023,"$28,653.14",Umbrella Ltd,CL,H1-2024-Retention,4885,"$3,068.56",Data Pipeline,david brown,
"$1,038,789.26",NA,298.00,386,affiliate,21.04.2023,"$21,157.73",Umbrella Ltd,CW,Q4-24-Email Blast,2725,"$3,485.87",Cloud Storage 1TB,,new customer
"$1,424,371.20",US,448,189,email,30.10.2024,"$31,267.69",Umbrella Ltd,CL,Q3-23-Cross-sell,3760,"$3,179.40",Cloud Storage 1TB,jake thomas,
"$645,545.70",United Kingdom,270,19,Call Center,16.01.2023,"$8,969.99",MomCorp,CLOSED LOST,Q4-24-Holiday Sale,,"$2,390.91",Security Bundle,Grace Lee,partial payment
"$161,927.88",Britain,186,N/A,Email,09.07.2023,"$25,141.33",Hooli Inc,LOST,Q3-24-Retention,4979,$870.58,ERP Add-on,J. Doe,CEO referral
"$1,808,634.88",MEA,416.00,302,Online,22.02.2023,"$45,335.28",Prestige Worldwide,CLOSED LOST,Q2-2024-Holiday Sale,1801,"$4,347.68",Software License,John Smith  ,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
