UNIT_PRICE;COMPANY;REVENUE;CAMPAIGN;DATE;SALES_REP;PRODUCT;LEADS;REGION;STATUS;CHANNEL;AD_SPEND;QTY;ccy
2153.18;DataWave Inc;415563.74;Q4-23-Summer Blitz;11.21.2024;Henry Taylor;Software Subscription;-;South America;In Progress;Referral;37395.70;193;EUR
152.84;Globex Industries;13908.44;FY-2024-New Year Promo;07.13.2025;Bob Williams;Premium Onboarding;3906;Asia Pacific;pending;e-comm;35697.47;91.0;CAD
838.48;Globex Industries;129125.92;H2-23-Fall Campaign;07.15.2024;J. Smith;Software License;3297;North America;Negotiation;E-Commerce;32367.66;154.0;GBP
1505.84;QuickShip Logistics;112938.00;FY-2024-Brand Awareness;10.14.2024;leo harris;Service Plan Pro;-;Africa;CW;social media;32775.98;75;GBP
1259.92;Globex Industries;22678.56;H1-2023-Summer Blitz;10.18.2023;carol davis;Service Plan Enterprise;1929;Asia;CLOSED WON;call center;37626.02;18;USD
476.62;;174919.54;Q1-23-Black Friday;12.13.2023;D. Brown;Gadget Mini;4740;EMEA;negotiation;RETAIL;19247.20;367;EUR
3311.58;Globex Industries;1248465.66;H1-23-Social Push;03.23.2025;Carol Davis;Cloud Storage 1TB;null;Australia;Won;e-comm;48884.94;377;GBP
2708.31;FreshCart;1340613.45;H2-2024-Upsell;01.16.2025;leo harris;Widget B;1249;Middle East;Closed Lost;Referral;38118.82;495;USD
2720.97;Globex Industries;188727.21;;null;jake thomas;Hardware Unit;2000;MEA;in progress;;7183.31;;CAD
4100.21;Acme Corp;414121.21;FY-2023-Upsell;04.08.2024;;ERP Add-on;2517;South America;qualified;web;25114.44;101;CAD
null;Virtucon;missing;Q1-2024-Spring Push;12.16.2024;JOHN SMITH;Service Plan Basic;N/A;United Kingdom;closed won;Web;46842.77;410.0;JPY
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
