CAMPAIGN,STATUS,COMPANY,QTY,CHANNEL,REVENUE,SALES_REP,AD_SPEND,DATE,LEADS,PRODUCT,CONVERSIONS,UNIT_PRICE,REGION
Q4-2024-New Year Promo,Negotiation,Genco Pura,382,Direct,"1,109,904.82 USD",john smith  ,254.68 USD,20230615,3018,Training Package,115,"2,905.51 USD",ANZ
Q1-2024-Fall Campaign,Closed-Won,Genco Pura,422.00,Channel Partner,"1,371,293.22 USD",David Brown,"19,702.58 USD",20230813,4142,Service Plan Enterprise,411,"3,249.51 USD",ASIAPAC
Q4-2024-Fall Campaign,closed won,Genco Pura,62,retail,"304,249.50 USD",L. Harris,"49,962.93 USD",20231107,1931,Training Package,6,"4,907.25 USD",MEA
H1-2024-Trade Show,Lead,Genco Pura,471,Direct,"261,216.60 USD",iris anderson,"20,415.18 USD",20241210,3758,-,450,554.60 USD,Asia Pacific
H2-2023-New Year Promo,Lead,Genco Pura,104,affiliate,"156,403.52 USD",John Smith,"8,273.60 USD",20250126,1096,Hardware Unit,204,"1,503.88 USD",N/A
Q3-2023-Email Blast,WON,Genco Pura,123,Social,"372,842.52 USD",Mia Clark,null,20231103  ,,Service Plan Pro,44,"3,031.24 USD",ANZ
H2-2024-New Year Promo,Negotiation,Genco Pura,181.0,Channel Partner,"658,923.26 USD",Jake Thomas,"5,832.84 USD",20240717,1255,Security Bundle,496,"3,640.46 USD",USA
,CLOSED LOST,Genco Pura,372,ecommerce,"1,793,523.60 USD",eva martinez,"25,816.91 USD  ",20230414,4257,Widget A,234,"4,821.30 USD",EU
Q2-2023-Social Push,Negotiation,Genco Pura,299,in-store,"1,454,790.48 USD",grace lee,"10,226.78 USD",20240324,416,Premium Onboarding,-,"4,865.52 USD",Latin America
Q2-2024-Fall Campaign,Negotiation,Genco Pura,,Partner  ,"145,621.05 USD",J. Thomas,-,20230724,1392,Data Pipeline,216,124.65 USD,LATAM
Q1-23-Upsell,CLOSED LOST,Genco Pura,206,Website,"799,467.46 USD",M. Clark,"41,117.10 USD",20231111,4433,Support Tier 2,114,"3,880.91 USD",SA
Q4-2023-Webinar Series,Lead,Genco Pura,114.00  ,Store,"189,968.46 USD",alice johnson,"40,149.52 USD",20231020,934,Cloud Storage 5TB,100,"1,666.39 USD",ASIAPAC
Q2-24-New Year Promo,WON,Genco Pura,300.00,referral,"1,162,860.00 USD",eva martinez,"24,605.40 USD",20230831,1202,Gadget Mini,204,"3,876.20 USD",Asia
H1-2024-Brand Awareness,Pending,Genco Pura,null,field,N/A,iris anderson,null,20230601,451,API Access,159,"3,992.95 USD",United Kingdom
H2-2024-Trade Show,Qualified,Pinnacle Analytics,465,Store,"437,783.55 USD",F. Wilson,"36,026.35 USD",20241110,-,Data Pipeline,142,941.47 USD,MEA
Q2-24-Spring Push,pending,Genco Pura,295,web,"455,648.15 USD",John Smith,"41,661.73 USD",20241205,1128,ERP Add-on,429,"1,544.57 USD",ANZ
Q1-23-Retention,qualified,Genco Pura,372,Email Campaign,"828,756.48 USD",F. Wilson,"32,221.73 USD",TBD,3482,-,N/A,"2,227.84 USD",EMEA
Q1-2024-Summer Blitz,in progress,Genco Pura,83,social media,"90,218.11 USD",B. Williams,"21,005.22 USD",20240213  ,611,N/A,253,#N/A,South America
Q4-2024-Holiday Sale,PENDING,Pinnacle Analytics,127,affiliate,"576,327.27 USD",Frank Wilson,"26,309.87 USD",20241119,3822,API Access,255,"4,538.01 USD  ",EMEA
H2-2023-Holiday Sale,Qualified,Genco Pura,N/A,Online,"32,520.47 USD",Jake Thomas,"4,468.51 USD",20241006,2330,Gadget X,152,181.22 USD,LATAM
H1-2024-Social Push,LOST,Genco Pura,397.0,Partner,"1,552,746.40 USD",B. Williams,"3,611.95 USD",20231213,910,Widget A,287,"3,911.20 USD",ASIAPAC
H1-2024-Holiday Sale,LOST,QuickShip Logistics,112.0,reseller,"62,166.72 USD",karen white,"40,967.17 USD",20240513,2296,Gadget Mini,151,555.06 USD,APAC
Q4-2023-Upsell,pending,Genco Pura,463.0,referral,"479,612.44 USD",Frank Wilson  ,"10,382.47 USD",pending,2535,Consulting Hours,230,"1,035.88 USD",APAC
,Closed Won,Oscorp Technologies,2.00,Social Media,"3,637.26 USD",Mia Clark,"42,921.77 USD",20230915,1874,Cloud Storage 5TB,19,"1,818.63 USD",LATAM
Q2-2023-Holiday Sale,Open,Genco Pura,179.00,Call Center,"825,206.11 USD",Jane Doe,null,20230918,558,Widget A,434,"4,610.09 USD",EU
FY-2024-Black Friday,Closed-Won,Genco Pura,319,Social Media,"1,545,701.74 USD",leo harris,"17,593.21 USD",20230411,2224,API Access,N/A,"4,845.46 USD",-
FY-2024-Black Friday,closed won,Hooli Inc,4.0,Reseller,"12,975.52 USD",John Smith,"35,271.58 USD",20240129,3217,Premium Onboarding,473,"3,243.88 USD",Africa
H2-24-Product Launch,open,Genco Pura,322.0,field,"1,059,927.40 USD",karen white,"48,132.01 USD",20231011,4026,Service Plan Pro,363  ,"3,291.70 USD",United Kingdom
Q4-2023-Spring Push,PENDING,Genco Pura,148.00,social media,"427,049.56 USD",Frank Wilson,"14,311.76 USD",20250118,3139  ,Service Plan Enterprise,343,"2,885.47 USD",NA
Q4-24-Trade Show,Closed Lost,Genco Pura,409,referral,"257,023.78 USD",Unassigned,-,20230702,2789,Support Tier 1,245,628.42 USD,LATAM
FY-2024-Summer Blitz,CL,Genco Pura,205,Telesales,"597,964.50 USD",K. White,"41,021.85 USD",20240923,1659,Data Pipeline,419,"2,916.90 USD",Middle East
Q1-2023-Trade Show,in progress,Genco Pura,464.00,Direct,"682,242.40 USD",M. Clark,"38,067.36 USD",20241029,4623,Service Plan Pro,33,"1,470.35 USD",United States
H1-2023-Holiday Sale,Qualified,Genco Pura,68.0,Direct,"321,083.08 USD",Leo Harris,"24,489.38 USD",20241124,3174,Gadget Mini,480  ,"4,721.81 USD",United States
H1-2024-Product Launch,Negotiation,Genco Pura,453,in-store,"650,168.25 USD",henry taylor,"22,530.44 USD",20240626,-,Gadget X,179,"1,435.25 USD",Africa
Q2-2023-Trade Show,open,Genco Pura,0,reseller,"244,022.16 USD",iris anderson,"3,663.17 USD",20230829,748,Widget Pro,126,"2,302.02 USD",Europe
Q3-23-Product Launch,WON,Umbrella Ltd,422,retail,"1,360,076.46 USD",iris anderson,"28,154.38 USD",20230719,3966  ,Software License,387,"3,222.93 USD",Britain
Q1-2024-Brand Awareness,WON,Genco Pura,278,online,"415,087.36 USD",henry taylor,"34,808.95 USD",20231206,1839,Widget Pro,377,"1,493.12 USD",ANZ  
Q2-2023-Brand Awareness  ,Proposal,Genco Pura,128.0,direct,"208,238.08 USD",Bob Williams,"36,554.31 USD",20250201,-,Widget A,268,"1,626.86 USD",EMEA
